;sotok;summa;keys;url;text
388;2500;60000;['/5-bedrooms'. '/besh-kungej'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-180-kv-m-5-komnat-id-82896614;"Продаю 2х уровневые Таунхаусы плошадь:120кв+60кв.м подарок монсард !.м с участоком 2.5 сотка !в экологическом чистом районе г.Бишкек в село начало Беш-Күнгөй  !От Южны й магистраль/алматинка 4 км 5мин езды. Таунхаусы построены в современном стиле с использованием высококачественных материалов. Стены полтара кирпича. Таунхаус состоит из трёх спален на 2м этаже  2 спальные комнаты с видом на горы .1комната смотрит на панорамный вид на город!Сан узел на 1м и 2м этаже.  На первом этаже есть гостиная панорамный вид на горы. столовая и кухня смотрит на город. Благоустройство территории  будет обустроена:туями.разнымы цветами. На заднем дворе будет:Очок современный с мангалом.также будет зона отдыха.Каркас монолитно-кирпичный. 5ти камерные окна с энергосберегающими стеклопакетами будет установлены. Таунхаус будет утеплятся  с базальтом(летом прохладно/зимой тепло!фасадная часть будет из травертина.у каждого таунхауса будет свой забор.ворота калитка . Коммуникации:вода Артезианская.свет 3х фазка.есть также поливная вода.высокоскоростный интернет.Газ ближайшее время проведут . таунхаусы у подножье высоких гор благодаря чему  жители могут наслаждаться панорамными видами на город. Бишкек также на природу  всябходимая  инфраструктура находиться в нескольких минутах езды. Рядом от 5 минут езды расположен огромный аквапарк с рыбным рестораном. одна из лучших частных школ ""Билимкана"" также садик Точка Роста. Гипермаркет ""Фрунзе"" .Этно комплекс Супара . Срок завершения Строительство конец 1 го квартала Март!  ‌Цена : 120кв.м×500$=60.000$ 60кв.м мансард подарок! торг есть Рассмотрим варианты обмена авто. участок. недвижимость с вашей доплатой  При 100% оплате предусматривается скидка Также расмотрим расрочку с первоначальной суммой 30.000$ Остаток 30.000$ готовы в расрочку на 1 год    "
304;600;43000;['/4-bedrooms'. '/no'. '/novo-pokrovka'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-140-kv-m-4-komnaty-id-83563099;Продаю  добротный новый 2020 году завершили. дом из 4х комнат Кухня с выходом во двор.Зал большой можно разделить на пару комнат.спальня.большой хол.сан узел.Новопокровка ул.Айтматова 25.участок 6 соток!размер дома 12м/13м .жилая площадь 140кв.м.межкомнатные и бронированные  двери российского производства. Окны 5ти камерные Российского производства.ламинант тоже Российский Фундамент заливали с бетоном м250.также использованы российская арматура.Стены полтора кирпича.также можно сделать мансардный этаж +140кв.м для этого ставили двойные балки и крыша позволяет .отопления угольное .делали батареи чугынные .топка стоит отдельно на улице.свет проведён.канализация септик.вода скважина своя.в дом проведён высокоскоростной интернет также можно подключить ТВ. до жибек-жолу 800 метр.до ближайшее маршрутки √105 й 300 метр Имеется красная книга.тех паспорт. Юридически чистый .не в залоге.не в аресте . Цена :43.000$
421;420;79000;['/6-bedrooms'. '/archa-beshik'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-200-kv-m-6-komnat-id-82527658;Продам дом 200кв.м.  Продам дом в ж/м Арча-Бешик. ул. Алты-Тутун 65/а. 200м от Чортекова. под самоотделку. Центральное водоснабжение. газ. Территория полностью огорожена. Строили для себя в 2020-году.  Полный подвал. на первом этаже зал. кухня и раздельные сан.узлы. На втором 3 спальни. сан.узел и кабинет. 
948;100;60000;['/4-bedrooms'. '/alamedin-rynok'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-90-kv-m-4-komnaty-id-81608933;Продам или обменяю благоустроенный 4 комн.  дом по ул.Салиева на благоустроенную квартиру
101;100;49000;['/5-bedrooms'. '/no'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-5-komnat-id-60371357;Ауэзова-Исакеева Большой дом с времянкой.свет.вода.центральная канализация скоро будет газ...
126;100;48000;['/6-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-6-komnat-id-58111225;Продаю жилой дом верхний Токульдош. на участке имеется 2 дома. земельный участок 7-8 соток
50;100;43000;['/4-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-4-komnaty-id-57627919;Продаю дом в г.Бишкек  участок 4 сотки. 4-комнатный. техпаспорт. красная книга есть. газ. септик. отопление. Скором времени центральную улицу объединят с Проспектом Чуй  Адрес: Свердловский район ж/м Учкун  Конечная 172-маршрутки  Торг уместен. возможен обмен на квартиру                     Продаю  Квартиру  Дом Участок  1 комнатная квартира  2 комнатная квартиры  3 комнатная квартира  Квартиры  отделкой   Застройщика Под псо  Квартиры город Куплю квартиру  Продам квартиры  Продаю дом  Куплю дом  С отделкой   Подвесные потолки  элитный дом элитная квартира элитка бишкек Элитка  
569;100;30000;['/3-bedrooms'. '/no'. '/owner'. '/sokuluk'];https://lalafo.kg/bishkek/ads/prodam-dom-50-kv-m-3-komnaty-id-83668222;Продам домик в деревне с времянкой
97;100;20000;['/4-bedrooms'. '/kara-balta'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-4-komnaty-id-83250307;Срочно продаю большой дом
464;100;20000;['/3-bedrooms'. '/belovodskoe'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-30-kv-m-3-komnaty-id-72031323;Срочная!Продажа!частный дом в Петровка.Ак-Суу поворот с большим участком подробности по тел:/ватсап!.Много место для выпаса скота любого.удобно под введение сел/хозяйства.есть во дворе артезьян.магазин.много деревьев.3 огорода.пруд.за домом арык вода из артезьяна течёт круглый год удобно под полив.большой участок сено на укос огорожен тополями.летний душ.навес.тапчан.баня.гараж.вайфай.вокруг территория огорожена.30 мин от центральной трассы .по улице артезьяны новые!
489;100;15000;['/3-bedrooms'. '/kant'. '/owner'];https://lalafo.kg/bishkek/ads/prodam-dom-36-kv-m-3-komnaty-id-82678322;Продаю дачу 6/6 5/5 соток дмитриевка есть платформа поезда прошу 15 тысяч долларов
113;85;53999;['/5-bedrooms'. '/lebedinovka'. '/owner'. '/yes'];https://lalafo.kg/bishkek/ads/prodam-dom-100-kv-m-5-komnat-id-82120811;Срочно продаю дом . 100 кв метров. начало лебединовки. за кафе арзу . кирпичный. 5 комнат. газовое. электрическое отопления . в доме санузел.кухня отдельно. баня. гараж. хоз.Постройки.участок 8.5соток. хорошо уступлю.
903;82;50000;['/6-bedrooms'. '/no'];https://lalafo.kg/bishkek/ads/prodam-dom-82-kv-m-6-komnat-id-48293645;Продаю дом на два выхода. центральная канализация. отопление газ и  твердое топливо. два городских телефона . интернет. в саду плодоносящие деревья и виноградник. 7 минут ходьбы до старого автовокзала или меняю на квартиру
